id_linha,id_pedido,data_pedido,data_envio,modo_envio,id_cliente,nome_cliente,segmento,pais,cidade,estado,codigo_postal,regiao,id_produto,categoria,subcategoria,nome_produto,vendas
1,CA-2017-152156,2017-11-08,2017-11-11,Segunda classe,CG-12520,Claire Gute,Consumidor,Estados Unidos,Henderson,Kentucky,42420.0,Sul,FUR-BO-10001798,Moveis,Estantes,Bush Somerset Collection Bookcase,261.96
2,CA-2017-152156,2017-11-08,2017-11-11,Segunda classe,CG-12520,Claire Gute,Consumidor,Estados Unidos,Henderson,Kentucky,42420.0,Sul,FUR-CH-10000454,Moveis,Cadeiras,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
3,CA-2017-138688,2017-06-12,2017-06-16,Segunda classe,DV-13045,Darrin Van Huff,Corporativo,Estados Unidos,Los Angeles,California,90036.0,Oeste,OFF-LA-10000240,Material de escritorio,Etiquetas,Self-Adhesive Address Labels for Typewriters by Universal,14.62
4,US-2016-108966,2016-10-11,2016-10-18,Classe padrao,SO-20335,Sean O'Donnell,Consumidor,Estados Unidos,Fort Lauderdale,Florida,33311.0,Sul,FUR-TA-10000577,Moveis,Mesas,Bretford CR4500 Series Slim Rectangular Table,957.5775
5,US-2016-108966,2016-10-11,2016-10-18,Classe padrao,SO-20335,Sean O'Donnell,Consumidor,Estados Unidos,Fort Lauderdale,Florida,33311.0,Sul,OFF-ST-10000760,Material de escritorio,Armazenamento,Eldon Fold 'N Roll Cart System,22.368
6,CA-2015-115812,2015-06-09,2015-06-14,Classe padrao,BH-11710,Brosina Hoffman,Consumidor,Estados Unidos,Los Angeles,California,90032.0,Oeste,FUR-FU-10001487,Moveis,Mobiliario,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
7,CA-2015-115812,2015-06-09,2015-06-14,Classe padrao,BH-11710,Brosina Hoffman,Consumidor,Estados Unidos,Los Angeles,California,90032.0,Oeste,OFF-AR-10002833,Material de escritorio,Arte,Newell 322,7.28
8,CA-2015-115812,2015-06-09,2015-06-14,Classe padrao,BH-11710,Brosina Hoffman,Consumidor,Estados Unidos,Los Angeles,California,90032.0,Oeste,TEC-PH-10002275,Tecnologia,Telefones,Mitel 5320 IP Phone VoIP phone,907.152
9,CA-2015-115812,2015-06-09,2015-06-14,Classe padrao,BH-11710,Brosina Hoffman,Consumidor,Estados Unidos,Los Angeles,California,90032.0,Oeste,OFF-BI-10003910,Material de escritorio,Pastas,DXL Angle-View Binders with Locking Rings by Samsill,18.504
10,CA-2015-115812,2015-06-09,2015-06-14,Classe padrao,BH-11710,Brosina Hoffman,Consumidor,Estados Unidos,Los Angeles,California,90032.0,Oeste,OFF-AP-10002892,Material de escritorio,Eletrodomesticos,Belkin F5C206VTEL 6 Outlet Surge,114.9
11,CA-2015-115812,2015-06-09,2015-06-14,Classe padrao,BH-11710,Brosina Hoffman,Consumidor,Estados Unidos,Los Angeles,California,90032.0,Oeste,FUR-TA-10001539,Moveis,Mesas,Chromcraft Rectangular Conference Tables,1706.184
12,CA-2015-115812,2015-06-09,2015-06-14,Classe padrao,BH-11710,Brosina Hoffman,Consumidor,Estados Unidos,Los Angeles,California,90032.0,Oeste,TEC-PH-10002033,Tecnologia,Telefones,Konftel 250 Conference phone - Charcoal black,911.424
13,CA-2018-114412,2018-04-15,2018-04-20,Classe padrao,AA-10480,Andrew Allen,Consumidor,Estados Unidos,Concord,North Carolina,28027.0,Sul,OFF-PA-10002365,Material de escritorio,Papel,Xerox 1967,15.552
14,CA-2017-161389,2017-12-05,2017-12-10,Classe padrao,IM-15070,Irene Maddox,Consumidor,Estados Unidos,Seattle,Washington,98103.0,Oeste,OFF-BI-10003656,Material de escritorio,Pastas,Fellowes PB200 Plastic Comb Binding Machine,407.976
